"run.ID","associated.phenotype","s__Fusobacterium nucleatum spp","s__Parvimonas micra","s__Peptostreptococcus stomatis","count_positive"
"ERR2726582","D006262",0,0,0,"0"
"ERR2726583","D015179",0,0,0,"0"
"ERR2726584","D015179",0,0,0,"0"
"ERR2726585","D015179",0,0,0,"0"
"ERR2726586","D015179",0,0,0,"0"
"ERR2726587","D006262",0,0,0,"0"
"ERR2726588","D006262",0,0,0,"0"
"ERR2726589","D006262",0,0,0,"0"
"ERR2726590","D006262",0,0,0,"0"
"ERR2726591","D006262",0,0,0,"0"
"ERR2726592","D006262",0,0,0,"0"
"ERR2726593","D015179",0,0,0,"0"
"ERR2726594","D015179",0,0,0,"0"
"ERR2726595","D015179",0,0,0,"0"
"ERR2726596","D015179",0,0,0,"0"
"ERR2726597","D015179",0,0,0,"0"
"ERR2726598","D015179",0,0,0,"0"
"ERR2726599","D015179",0,0,0,"0"
"ERR2726600","D015179",0,0,0,"0"
"ERR2726601","D006262",0,0,0,"0"
"ERR2726602","D006262",0,0,0,"0"
"ERR2726603","D006262",0,0,0,"0"
"ERR2726604","D006262",0,0,0,"0"
"ERR2726605","D006262",0,0,0,"0"
"ERR2726606","D015179",0,0,0,"0"
"ERR2726607","D015179",0,0,0,"0"
"ERR2726608","D015179",0,0,0,"0"
"ERR2726609","D015179",0,0,0,"0"
"ERR2726610","D015179",0,0,0,"0"
"ERR2726611","D015179",0,0,0,"0"
"ERR2726612","D015179",0,0,0,"0"
"ERR2726613","D015179",0,0,0,"0"
"ERR2726614","D015179",0,0,0,"0"
"ERR2726615","D006262",0,0,0,"0"
"ERR2726616","D006262",0,0,0,"0"
"ERR2726617","D006262",0,0,0,"0"
"ERR2726618","D015179",0,0,0,"0"
"ERR2726619","D015179",0,0.0093257483913084,0.0101650657465262,"2"
"ERR2726620","D015179",0,0.0103557708368131,0.0109821279438784,"2"
"ERR2726621","D015179",0,0.0107640727016058,0.0104552673372155,"2"
"ERR2726622","D015179",0,0.00967305905212469,0.010179944242629,"2"
"ERR2726623","D006262",0,0,0,"0"
"ERR2726624","D015179",0,0,0,"0"
"ERR2726625","D015179",0,0,0,"0"
"ERR2726626","D015179",0,0,0,"0"
"ERR2726627","D015179",0,0,0,"0"
"ERR2726628","D006262",0,0,0,"0"
"ERR2726629","D006262",0,0,0,"0"
"ERR2726630","D006262",0,0,0,"0"
"ERR2726631","D015179",0,0,0,"0"
"ERR2726632","D006262",0,0,0,"0"
"ERR2726633","D015179",0,0,0,"0"
"ERR2726634","D006262",0,0,0,"0"
"ERR2726635","D006262",0,0,0,"0"
"ERR2726636","D006262",0,0,0,"0"
"ERR2726637","D015179",0,0,0,"0"
"ERR2726638","D015179",0,0,0,"0"
"ERR2726639","D015179",0,0,0,"0"
"ERR2726640","D015179",0,0,0,"0"
"ERR2726641","D006262",0,0,0,"0"
"ERR2726642","D006262",0,0,0,"0"
"ERR2726643","D015179",0,0,0,"0"
"ERR2726644","D015179",0,0,0,"0"
"ERR2726645","D015179",0,0,0,"0"
"ERR2726646","D015179",0,0,0,"0"
"ERR2726647","D006262",0,0,0,"0"
"ERR2726648","D015179",0,0,0,"0"
"ERR2726649","D015179",0,0,0,"0"
"ERR2726650","D015179",0,0,0,"0"
"ERR2726651","D015179",0,0,0,"0"
"ERR2726652","D015179",0,0,0,"0"
"ERR2726653","D015179",0,0,0,"0"
"ERR2726654","D015179",0,0,0,"0"
"ERR2726655","D015179",0,0,0,"0"
"ERR2726656","D006262",0,0,0,"0"
"ERR2726657","D015179",0,0,0,"0"
"ERR2726658","D015179",0,0,0,"0"
"ERR2726659","D015179",0,0,0,"0"
"ERR2726660","D015179",0,0,0,"0"
"ERR2726661","D006262",0,0,0,"0"
"ERR2726662","D006262",0,0,0,"0"
"ERR2726663","D006262",0,0,0,"0"
